propertyId,propertyName,propertyDescription,content,label
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Despite not being involved in Hollywood like her brothers and sisters, she was a writer on her brother Damon's show My Wife And Kids.",1
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.",5
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Frank Moore Fitzgerald (November 11, 1955 – December 9, 2004) was an American lawyer and politician.",3
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Hans Wouda (born 7 April 1941 in Amsterdam, North Holland) is a former water polo player from the Netherlands, who competed in the 1968 and 1972 Summer Olympics for his native country.",10
5,DATE_FOUNDED,Describes the founding date of a company.,"E Ink is located in Billerica, Massachusetts, and was co-founded in 1997 by undergraduates J.D. Albert & Barrett Comiskey, Joseph Jacobson (professor in the MIT Media Lab), Jerome Rubin (LexisNexis co-founder) and Russ Wilcox.",2
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,Royal is a subsidiary of plastics and chemicals maker Axiall Corporation (formerly Georgla Gulf Corporation).,14
14,DATE_OF_DEATH,Describes the date of death of a person.,"Her death inspired two motion pictures, the 1981 TV movie and the 1983 theatrical release Star 80, as well as the book The Killing of the Unicorn and the songs ""Californication"" by the Red Hot Chili Peppers, ""The Best Was Yet to Come"" by Bryan Adams and ""Cover Girl"" by the Canadian rock band Prism.",4
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"I grew up working with my father, Ernie, at Ernie's Lock & Key in The Dalles Oregon.",1
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Craig Maxwell Farrell (born 28 January 1964) is an Australian politician, and a member of the Tasmanian Legislative Council representing the seat of Derwent for the Australian Labor Party.",12
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"I balance my career by being involved in the lives of my two children, Chelsea, who attended Birmingham Southern College and is now pursuing her PhD at Georgia Tech, and Kieran, who attends Hampton Cove Middle School.",1
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,Duke Daughtery is the Kansas City office Audit Services and Consumer and Industrial Products practices leader.,8
4,CEO,Describes the relationship between an organization and its CEO.,"Brenda Vineyard Runyon (1868 - 1929), founder and director of the First Woman's Bank of Tennessee in Clarksville, Tennessee in 1919.",0
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,Harvard mathematician Arthur Jaffe was the first president of CMI.,6
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"He was an Institute of the Future fellow for his work on positive platforms to support people with disabilities in employment and his projects include creating smart rooms for people with disabilities to live more independently have appeared in Forbes: https://www.forbes.com/sites/denisebrodey/2018/07/29/how-disability-friendly-is-your-workplace-4-ways-to-put-your-business-to-the-test/ David is the organiser of Hack Access Dublin, a 3-day event to create innovative solutions to the city’s accessibility challenges.",7
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"I'm a Finnish new media marketing enthusiast with robust leadership skills and an abundance of demonstrated proficiency in social media management, B2C sales, and video production.",9
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,In November 1974 he became a member of the People's Liberation Army of Namibia (PLAN).,12
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"It is one of two airports in the Philippines named after a member of the Romualdez family, the other being Imelda R. Marcos Airport in Mati after Imelda Romualdez-Marcos, the wife of the late president Ferdinand Marcos.",13
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Aneurin Bevan (15 November 1897 – 6 July 1960), often known as Nye Bevan, was a Welsh Labour Party politician who was the Minister for Health in the UK from 1945 to 1951.",12
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"We’re headquartered in San Francisco, but we’re decentralized so every local Wells Fargo store is a headquarters for satisfying all our customers’ financial needs and helping them succeed financially.",8
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"On 1 January 1795 he married firstly Elizabeth Harrod, of Exeter, and in 1813 they were divorced by an Act of Parliament.",13
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Morgan operates worldwide in the following arenas: The UK Operation had moved to 7 Back Hill, London (former site of the Van der Moolen Bonds offices), and appointed Fergus Patterson as their Managing Director.",11
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Adam Fry (born 9 February 1985 in Luton) is a former professional footballer.,10
4,CEO,Describes the relationship between an organization and its CEO.,"Similarly, Mr. Leite became the first member of a law firm to be appointed to the US-Brazil CEO Forum in 2013 and in September 2015 U.S. Secretary of Commerce Penny Pritzker announced him as the new chair of the US section of this forum, leading efforts in strengthening commercial ties between the two countries.",0
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Milton Darrell Osteen (born February 14, 1943) is an American former professional baseball player for the Cincinnati Reds and the Oakland Athletics from 1965 to 1970.",3
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Prior to founding Brand Advance, David helped start & manage the premium blogger & influencer program at IZEA, a top social media marketing company.",7
14,DATE_OF_DEATH,Describes the date of death of a person.,"He was killed in October 1948 while changing a tire at trackside, when he was hit by another competitor.",4
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"George Heard Hamilton (1910-2004) was Professor of art history at Yale University, 1936-1966.",6
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"She was born in Suomussalmi, Finland, but was evacuated to Sweden when she was a child (see Finnish war children).",10
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"It was owned by News World Communications, an international media conglomerate founded by Unification Church founder Sun Myung Moon, which at the time owned The Washington Times, United Press International, and several newspapers in Japan, South Korea, Africa, and South America.",7
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,She received her master’s degree in School Psychology from the University of Wisconsin-River Falls.,5
14,DATE_OF_DEATH,Describes the date of death of a person.,"He died on November 7, 2015, and was survived by his wife Sandra, and son, Gabe.",4
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"His father, Dr. August Heisenberg, became a Professor of Middle and Modern Greek languages at the University of Munich.",1
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"In continuous operation since 1925, its activities include a four-play subscription season, a youth production that tours Manitoba schools, a high school theatre festival (Festival théâtre-jeunesse), a series of live play readings (5 à 7 ½), a directing workshop for new works and talent (Marathon de mises en scène) and children’s drama classes (The Cercle Molière's Theatre School).",10
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"It is owned by Hearst Television, a wholly owned subsidiary of the Hearst Corporation.",14
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"James W. Naughton (1840–1898) was an American architect, serving as the Superintendent of Buildings for the Board of Education of the City of Brooklyn.",9
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"He was born in Quebec City, the son of André Soucy and Gérardine Côté, and was educated at the Université Laval, the Université du Québec à Montréal and the Université de Sherbrooke.",10
25,SPOUSE,Describes the relationship between a person and her/his spouse.,In 1987 Mike and his wife Cathy formed Truman Door Systems to market sectional roll up doors that was then predominantly one-piece wood garage door market.,13
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Idan Eretz is the co-head of the Tel-Aviv University SFL student group, studying Economics and History, and one of the founders of the Israeli “Liberty For All” organization.",7
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,Mohamed Ali Riad (13 May 1927 – 14 August 1958) was an Egyptian fencer.,9
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Working with Harold Eugene Edgerton of MIT, Mili was a pioneer in the use of stroboscopic instruments to capture a sequence of actions in one photograph.",6
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Michael was a board member of International Rhino Foundation (IRF), and used the organizational structure and business plan of IRF as a template for multiple elephant holding facilities with diverse missions to come together for a shared common goal of contributing to the long-term preservation of elephants.",12
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"Highly-valued MSc students at the aforesaid University have been awarded scholarships, which ones Mrs Capatina Verdes were assigned to during two semesters.",5
5,DATE_FOUNDED,Describes the founding date of a company.,"After the war, he formed a Navy Reserve Unit in Denver and retired as a Commander in 1966.",2
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"From our office based in Chatswood, Sydney, Australia, we run over 20 events each year.",8
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Wherever you live in the El Paso, TX area, Tire Club should be your one-stop shop when considering new tires or wheels.",10
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,The Austrian School is a school of economic thought that is based on the concept of methodological individualism – that social phenomena result from the motivations and actions of individuals.,8
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,I then moved to Maryland where I taught for 1 year before moving to Colorado.,11
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Paradise Valley Hospital is a subsidiary of Prime Healthcare Services, which acquired the hospital from former parent Adventist Health in 2007.",14
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Ji Hee Ahn, Cellist, was born in South Korea and started playing the piano at the age of 4.",10
5,DATE_FOUNDED,Describes the founding date of a company.,"Since its founding in 2006, Aspen Heights has built and leased 15 individual off-campus college developments, with five to seven more in process for a 2014 delivery and a full pipeline for future projects both inside and outside the student housing segment.",2
4,CEO,Describes the relationship between an organization and its CEO.,During 1989/1990 she held the office of Chairman of the District Council.,0
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"The palace was visited by Henry V of England, and used by Mary Tudor just prior to her marriage to Philip II at Winchester Cathedral.",13
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"She was born Carolyn Wood on 26 June 1922, the youngest of three children of Bonny Williams and Lawrence Anselm Wood, in Loogootee, Indiana.",10
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"I am currently Chief Information Officer and member of the Executive Board for all the Spanish speaking countries at Penguin Random House GE, a publisher division of Bertelsmann group.",6
14,DATE_OF_DEATH,Describes the date of death of a person.,They performed Doors material exclusively until the death of Manzarek in 2013.,4
5,DATE_FOUNDED,Describes the founding date of a company.,"Headquartered in Atlanta, Sharecare was founded in 2010 by Jeff Arnold (founder of WebMD) and Dr. Mehmet Oz, in partnership with Harpo Studios, Sony Pictures Television and Discovery Communications.",2
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Originally owned by a neighboring business to the so-called 'goat blocks' (which previously utilized rented goats to weed) in Buckman, caretakers bought the herd in 2014 and, faced with 'goat blocks' redevelopment, relocated them to Lents.",10
4,CEO,Describes the relationship between an organization and its CEO.,She is Director General and Chief Executive Officer of the National Environmental Standard and Regulatory Agency (NESREA).,0
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,Onyu is the brainchild of entrepreneurs Luke Harte and Stuart Beattie both originally from Dundee in Scotland who has since moved to Edinburgh where the team is based.,9
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Nevertheless we discover that traditional methods where diminishing the discovery hunger natural in all children, so after a wide research we found the method developed by Dr. Maria Montessori, where the child had the opportunity to think, explore, and made the learning process a natural path in his life.",1
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,Athlétic Club Arles-Avignon (commonly referred to as Arles-Avignon or simply Arles) was a French association football club originally based in Arles.,8
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"He graduated from the Faculty of Economics in Ljubljana, and some years later also from the Academy of Theatre, Radio, Film and Television, majoring in theatre and radio direction.",5
25,SPOUSE,Describes the relationship between a person and her/his spouse.,On the 9th of February 2014 Brinda Parekh married childhood sweetheart Ajay Kamath at a private function in Bombay.,13
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"It is based in Burbank, California, and is affiliated with the performance rights organisation ASCAP.",8
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"Milne studied at Bishop Wordsworth's School in Salisbury and then at the Royal Academy of Music in London, where he now teaches, and later in Italy under Guido Agosti.",5
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Norton Lewis Lichtenwalner (June 1, 1889 – May 3, 1960) was a Democratic member of the U.S. House of Representatives from Pennsylvania.",12
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"The Campisi family moved from Alabama to open the original location, Regal Honda and Pontiac.",8
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Jean Berko Gleason (born 1931) is a professor emerita in the Department of Psychological and Brain Sciences (formerly the Department of Psychology) at Boston University,a psycholinguist who has made fundamental contributions to the understanding of language acquisition in children, aphasia, gender differences in language development, and parent-child interactions.",6
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"She operated cruises between the United States and Bermuda, which had been settled by the survivors of the wreck of the original Sea Venture in 1609.",11
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"She's part of Women Fair, Amigos for Kids activities, Latin Book Festivals, in Houston, Dallas, Los Angeles, Chicago and New York, In her spare time Geraldine likes to support causes such as the Televisa and TV Azteca Foundations, Movimiento Azteca, Telethon in Mexico, Panama, and Guatemala.",1
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"Whether you are dating, married, divorced, or contemplating what to do with your future, I can help to bring resolution and clarity.",13
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Andrzej Kajetan Wróblewski (Polish pronunciation: Vrooblevski, born 1933 in Warsaw) – Polish physicist, ordinary professor doctor habilitatus (since 1971), dean of the Physics Department Warsaw University (1986–1989), Rector of the Warsaw University (1989–1993), President of the Academic Council of the Institute for the History of Science, Polish Academy of Sciences.",10
5,DATE_FOUNDED,Describes the founding date of a company.,"The company was founded by Wayne Huizenga in 1996, and has more than 360 retail outlets.",2
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"United Nations Security Council resolution 895, adopted unanimously on 28 January 1994, after recalling previous resolutions on Israel and Lebanon including 501 (1982), 508 (1982), 509 (1982) and 520 (1982) as well as studying the report by the Secretary-General Boutros Boutros-Ghali on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 31 July 1994.",5
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Ramón Antonio Gerardo Estévez (born August 3, 1940), better known by his stage name Martin Sheen, is an American actor who first became known for his roles in the films The Subject Was Roses (1968) and Badlands (1973), and later achieved wide recognition for his leading role in Apocalypse Now (1979).",10
5,DATE_FOUNDED,Describes the founding date of a company.,"In 2012 the company took delivery of one of the most modern aircraft in the world, the Boeing 787 Dreamliner, however, after placing orders for several aircraft and taking delivery of two, the carrier found itself ""nearly insolvent"" due to the January 2013 grounding of the Boeing 787.",2
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"In 1990, George and Nancy's son Dan started working full time at the store.",1
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"The North, Central American and Caribbean section of the 2018 FIFA World Cup qualification acts as qualifiers for the 2018 FIFA World Cup, to be held in Russia, for national teams which are members of the Confederation of North, Central American and Caribbean Association Football (CONCACAF).",8
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"MicroAge (NASDAQ: MICA) was an American technology sales company based in Tempe, Arizona founded in 1976 by Jeffrey D. McKeever and Alan P. Hald, originally as part of Paul Terrell's chain of dealerships and franchises under the brand The Byte Shop.",3
5,DATE_FOUNDED,Describes the founding date of a company.,"With Politico executive editor, Jim VandeHei, Harris founded Politico for its launch on January 23, 2007.",2
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"Sling Broadband, LLC is an industry-leading, privately held, Internet Service Provider based in Florida.",8
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Martin Bojowald (born February 18, 1973, in Jülich) is a German physicist who now works on the faculty of the Penn State Physics Department, where he is a member of the Institute for Gravitation and the Cosmos.",9
5,DATE_FOUNDED,Describes the founding date of a company.,It was established in 1992 by the amalgamation of all the further education colleges within Liverpool.,2
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,Kathy Hamrick serves as Vice-President of Commemorative Arts with Mike Hamrick as consulting Architect.,6
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,Malcolm Campbell-Johnston (14 April 1871 – 12 March 1938) was a British barrister and Conservative Party politician.,12
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Hristoforos Hoidis (born 10 September 1978) is a Greek sprinter who specialized in the 100 metres.,10
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"In 2013, Brazilian journalist Daniela Arbex released an investigative book called ""O Holocausto Brasileiro"" (""The Brazilian Holocaust"") telling the stories of survivors and victims.",9
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"From 1990 to 1992, Crăsnaru was a deputy in the Romanian parliament, representing the National Salvation Front (FSN).",12
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"It is headquartered in Berne and has offices in Geneva and Zurich and works according to the grassroots principle, based on 11 regional chapters across Switzerland.",8
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Claude,  who  was  born  in  Switzerland,  believes  that  by  making  the  complex  simple,  the  designer  is able to provide relief for tension.",10
14,DATE_OF_DEATH,Describes the date of death of a person.,Milda Nixon lived at the residence until her death in 1981 at the age of 92.,4
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Carlos Gregorio Dávila Espinoza (September 15, 1887 - October 19, 1955), was a Chilean political figure, journalist, Chairman of Government Junta of Chile in 1932, and Secretary General of the Organization of American States from 1954 until his death in 1955.",9
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Elite Animation Academy has formed several relationships with  known Art and Design Schools such as Ringling Art and Design College, Full Sail University and the Dave (Digital and Visual Arts) School, to name a few.",7
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"The series featured many of the world’s leading contemporary musicians including: Bands: U2, The Police, Bruce Springsteen & the E Street Band, Radiohead, Led Zeppelin's Robert Plant & Jimmy Page, The Neville Brothers, The Hooters, New Kids On The Block, Third World Solo Artists: Sting, Bruce Springsteen, Peter Gabriel, Jackson Browne, Lou Reed, Bryan Adams, Joan Baez, Wynton Marsalis, Sinéad O'Connor, Alanis Morissette, Shania Twain, Little Steven, Bob Geldof, Joan Armatrading, Carlos Santana, Yoko Ono, Miles Davis, Joni Mitchell, Tracy Chapman, Bono, Ruben Blades, Fela, Youssou N'Dour, k.d. lang, Pat Metheney The concert series – organized by the US Section of Amnesty - evolved out of the Secret Policeman’s Ball series of charity galas organized by the UK Section of Amnesty starting in 1976.",1
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Our late father, Sum Leung, and our mom, Shun Nuen, opened this place together even though they barely spoke English.",1
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"He played in the Scottish Football League for Hibernian and in the English Football League for Manchester City and Barrow Born in Helensburgh, Gunning was a junior with Wolverhampton Wanderers, but was unable to settle and returned to Scotland in 1946, signing for Hibernian as an amateur.",11
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"It would hence appear that Polla had been divorced from her first husband Gellius, and had subsequently married Marcus Valerius Messalla.",13
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"I was born and raised in Paradise California, and educated through the Paradise School System.",10
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"The Los Angeles Philharmonic (LA Phil, LAP, or LAPO) is an American orchestra based in Los Angeles, California, United States.",8
15,DATE_OF_BIRTH,Describes the date of birth of a person.,Neville Hiscock (27 March 1951 – 13 February 1983) was a New Zealand motorcycle racer in the 1970s and 1980s.,3
5,DATE_FOUNDED,Describes the founding date of a company.,"CB GIE was created in 1984 by the six founding banks of Carte Bleue, plus Crédit Agricole and Crédit Mutuel.",2
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"In 1914 Stanley Unwin purchased a controlling interest in the firm George Allen and Sons, and established George Allen and Unwin, later to become Allen and Unwin.",1
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,He is a former member of the Belgian Chamber of Representatives for the Flemish Liberals and Democrats (VLD) and member of the city council of Leuven.,12
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Arthur Widmer (July 25, 1914, Washington, D.C. – May 28, 2006, Los Angeles, California) was an American film special effects pioneer.",3
14,DATE_OF_DEATH,Describes the date of death of a person.,"Baldwin van Holland (died April 30, 1196, in Mainz) was a bishop of Utrecht from 1178 to 1196 Baldwin was the son of Dirk VI, Count of Holland and Sophia of Rheineck, and brother to counts Otto van Bentheim and Floris III, Count of Holland.",4
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"It was originally owned by NSB (55% share hold) and the Swedish freight company Green Cargo; however Green Cargo sold their share to NSB in 2010, making the latter the sole owner.",10
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Founded by Lloyd Van Dyne and Fergus Crotty, on January 1, 1935, during the height of the Great Depression, the company grew from a $500 loan into one of the premier privately owned uniform companies in the United States.",10
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"Rev. Kalume was a composer and co-producer of the Kenyan national anthem, which was recorded in English and Swahili in September 1963 and inaugurated at Uhuru Gardens on December 12, 1963 during Kenya's independence celebrations.",8
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"He was elected a member of the Royal Swedish Academy of Engineering Sciences in 1949, and of the Royal Swedish Academy of Sciences in 1953.",6
4,CEO,Describes the relationship between an organization and its CEO.,"Dean Mercado, Founder and CEO of Online Marketing Muscle® and #1 Best Selling Author of “The MindStretch: 49 Inspiring Insights For Business Breakthroughs” is a spirited entrepreneur at heart and loves the fact that he controls his own destiny!",0
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Sandberg Photography is a father daughter business serving Fort Collins, Denver and beyond.",1
14,DATE_OF_DEATH,Describes the date of death of a person.,"Epstein died on June 16, 2006 of lung cancer in New York City at age 77.",4
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"In 1993 David got married and in 1996 the family moved to Atlanta where they opened the first Saigon Café in Duluth Georgia in January, 2002.",13
14,DATE_OF_DEATH,Describes the date of death of a person.,"Hollywood Vampires is an American rock supergroup formed in 2015 by Alice Cooper, Johnny Depp, and Joe Perry to honor the music of the rock stars who died from excess in the 1970s.",4
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Col. Sonaram Choudhary is an Indian politician, a member of the Bharatiya Janata Party and a member of the Lok Sabha representing Barmer constituency in Rajasth...an, India.",12
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.,10
15,DATE_OF_BIRTH,Describes the date of birth of a person.,Keith Joseph Andrews (born 13 September 1980) is a former Irish association footballer who played as a defensive midfielder.,3
15,DATE_OF_BIRTH,Describes the date of birth of a person.,Marion Hume (born 3 July 1962) is a British fashion journalist based in London.,3
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Greg Weld (March 4, 1944 – August 4, 2008) was an American racecar driver.",9
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"My current role is Group CFO with Prozone SUP SAS a French Group providing sports performance analysis worldwide, including Prozone Sports based in the UK, and Amisco based in France, along with other subsidiary companies on every continent.",14
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Power Products Unlimted Inc. is proudly located in Spokane, WA and is the parent company for Diesel Power Products, Offroad Power Products, Towing Power Products, Big Rig Power Products and Fuel Bomb Diesel Additives.",14
5,DATE_FOUNDED,Describes the founding date of a company.,"Active in social work, she administered the David G. James Memorial Fund established in 1922 for the relief of needy families in Richland County, Wisconsin.",2
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Diane Setterfield (born 22 August 1964) is a British author whose 2006 debut novel, The Thirteenth Tale, became a ''New York Times'' No. 1 best-seller.",10
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Beland Hugh Honderich, (November 25, 1918 – November 8, 2005) was a Canadian newspaper executive who was the Chairman and Publisher of the Toronto Star and Chairman and President of the Torstar Corporation.",3
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"In February 1986, we purchasee our 40-acre site in Meadow Vista which now has beautiful classrooms and dedicated spaces for all of our programs, including our Parent and Child Program, KinderVillage, Preschool and Nursery, Grades One through Eight, an assembly room, music room, woodshop, handwork room, Continuing Care rooms, our Children's Store, plus an abundance of outdoor playgrounds, gardens, and hiking trails through the woods of Mount Catherine.",1
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"Larke's first novel, Havenstar was published in 1998 by Virgin Worlds in the UK under her married name of Glenda Noramly.",13
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"She and her husband live in the church manse with their three 'kids' - Van, Honey, and Gracie (all feline).",10
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"During his stint at the DNC, Clyde earned a reputation as a forceful advocate for the President's most loyal supporters within the Democratic Party.",12
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Sitarist and vocalist Debipriya Sircar (née Das) was born and brought up in London.,10
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Hugh Darwen is a computer scientist who was an employee of IBM United Kingdom from 1967 to 2004, and has been involved in the history of the relational model.",6
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Brian Doughty is a former member of the Utah House of Representatives, representing the 30th District in Salt Lake County.",12
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Harry Wallace served with the 10th Battalion of the Durham Light Infantry in World War I, and died in service at Arras, France, leaving behind a widow and five children.",6
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Prior to co-founding FanSnap, Mark was VP of Engineering and Product Development at Flock, where he led the team building their innovative web browser optimized for the social web.",6
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,- Give young parents employment and training over a twelve month period to re-integrate them into society and give them the additional support that they need to become good parents;,14
14,DATE_OF_DEATH,Describes the date of death of a person.,"Her second marriage, from 1998 until her death, was to Dominic Pearson.",4
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"The Kitchener Panthers are an independent, minor league baseball team of the semi-pro Intercounty Baseball League based in Kitchener, Ontario.",8
14,DATE_OF_DEATH,Describes the date of death of a person.,"Ma Jaya Sati Bhagavati (died April 14, 2012) was a spiritual teacher born to Jewish parents in Brooklyn, United States.",4
14,DATE_OF_DEATH,Describes the date of death of a person.,"Shad died in 1985, and his daughter, Tamara Shad, licensed its back catalogue for reissues.",4
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Other unique highlights of her years with Microsoft included spearheading the development of the SMB channel strategy on behalf of the U.S. subsidiary, as well as development of alternative sales channels for Microsoft in partnership with large corporations similarly targeting this segment (MasterCard, Fedex, AT&T).",14
15,DATE_OF_BIRTH,Describes the date of birth of a person.,He continued to live in Munich but occasionally exhibited in Ireland and England; his The first lesson was hung in the Royal Academy in 1869 and Lady Jane’s victory over Bishop Gardener in 1871.,3
